vaccine_type,Vaccine_naive,schedule,Group,meanlog,sdlog,dist,mean,sd_square,ratio
PCV20,vaccine_naive,Post toddler: 2-4M/12M,Ref,1.3104905534875548,0.26895094465124453,lognormal,4.528951943,0.4,
PCV20,vaccine_naive,Post toddler: 2-4M/12M,High,2.047307804541438,0.19526921954585622,lognormal,9.462227349,0.4,
PCV20,vaccine_naive,Post toddler: 2-4M/12M,ST3,-0.64643658,0.46464365795431584,lognormal,0.639904342,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,Low,-0.07742876,0.407742876,lognormal,1.130399647,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,Ref,0.8725962752095553,0.3127403724790445,lognormal,2.922958462,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,High,1.592162869549322,0.24078371304506782,lognormal,6.00242089,0.4,
PPV23,vaccine_naive,1-dose,Low,0.056959632,0.3943040368086391,lognormal,1.29299293,0.4,
PPV23,vaccine_naive,1-dose,Ref,0.9892261679451488,0.30107738320548516,lognormal,3.284538543,0.4,
PPV23,vaccine_naive,1-dose,High,1.7869921825628825,0.22130078174371176,lognormal,7.293563031,0.4,
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Low,-0.595745974,0.4,lognormal,0.402025894,0.4,2.92689287
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Ref,-0.264035567,0.4,lognormal,0.862907876,0.4,1.962365826
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,High,0.186999932,0.4,lognormal,2.437810438,0.4,1.828450695
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,ST3,-0.280227857,0.4,lognormal,0.831327492,0.4,1.254244697
PCV15,vaccine_naive,Post dose1,Low,-1.062152801,0.4,lognormal,0.137355862,0.4,2.92689287
PCV15,vaccine_naive,Post dose1,Ref,-0.556815539,0.4,lognormal,0.439728344,0.4,1.962365826
PCV15,vaccine_naive,Post dose1,High,-0.075083322,0.4,lognormal,1.333265614,0.4,1.828450695
PCV15,vaccine_naive,Post dose1,ST3,-0.378610131,0.4,lognormal,0.662811247,0.4,1.254244697
PCV20,vaccine_naive,Post dose1,Low,-1.407284136,0.4,lognormal,0.062046297,0.4,
PCV20,vaccine_naive,Post dose1,Ref,-0.538403416,0.4,lognormal,0.458771662,0.4,
PCV20,vaccine_naive,Post dose1,High,-0.307125902,0.4,lognormal,0.781401244,0.4,
PCV20,vaccine_naive,Post dose1,ST3,-0.838945874,0.4,lognormal,0.229643484,0.4,
PCV20,vaccine_naive,1-dose,Low,0.183171324,0.4,lognormal,2.416413893,0.4,
PCV20,vaccine_naive,1-dose,Ref,0.591688044,0.4,lognormal,6.189962872,0.4,
PCV20,vaccine_naive,1-dose,High,0.705778076,0.4,lognormal,8.049669983,0.4,
PCV20,vaccine_naive,1-dose,ST3,-0.544359683,0.4,lognormal,0.452522645,0.4,
PCV15,vaccine_naive,Post toddler: 2-4M/12M,Low,0.206730596,0.4,lognormal,2.551118287,0.4,3.308177008
PCV15,vaccine_naive,Post toddler: 2-4M/12M,Ref,0.312086881,0.4,lognormal,3.251523381,0.4,5.218460165
PCV15,vaccine_naive,Post toddler: 2-4M/12M,High,0.727668834,0.4,lognormal,8.465816176,0.4,8.914999252
PCV15,vaccine_naive,Post toddler: 2-4M/12M,ST3,-0.104109183,0.4,lognormal,1.247069959,0.4,0.834659003
