age.grp,year,cap,n,ipd,c.and.i,cap_per_100k,ipd_per_100k,c.and.i_per_100k,prop.ipd
15-24,2016,302,3014049,26,328,10.019744204556728,0.8626269844982614,10.882371189054988,0.07926829268292683
15-24,2017,280,3043519,36,316,9.199876853076981,1.1828413096813262,10.382718162758307,0.11392405063291139
15-24,2018,284,3069902,36,320,9.2511096445424,1.172675870434952,10.423785514977352,0.1125
15-24,2019,266,3098958,41,307,8.583530335035196,1.323025352392643,9.906555687427838,0.13355048859934854
2-3m,2006,13,41432,10,23,31.37671365128403,24.135933577910794,55.512647229194826,0.43478260869565216
2-3m,2007,14,44181,5,19,31.687829610013356,11.317082003576198,43.00491161358955,0.2631578947368421
2-3m,2008,14,45392,7,21,30.84243919633416,15.42121959816708,46.26365879450123,0.3333333333333333
2-3m,2009,14,46060,4,18,30.395136778115504,8.684324793747287,39.07946157186279,0.2222222222222222
2-3m,2010,18,46432,10,28,38.766368022053754,21.5368711233632,60.30323914541695,0.35714285714285715
2-3m,2011,16,45274,15,31,35.34037195741485,33.131598710076425,68.47197066749128,0.4838709677419355
2-3m,2012,13,47661,5,18,27.275969870544053,10.490757642516943,37.766727513061,0.2777777777777778
2-3m,2013,13,48503,5,18,26.80246582685607,10.30864070263695,37.11110652949302,0.2777777777777778
2-3m,2014,11,47964,2,13,22.93386706696689,4.169794012175799,27.103661079142693,0.15384615384615385
2-3m,2015,13,48267,5,18,26.933515652516213,10.359044481737005,37.292560134253215,0.2777777777777778
2-3m,2016,14,49997,8,22,28.001680100806052,16.000960057603457,44.002640158409505,0.36363636363636365
2-3m,2017,10,47992,8,18,20.836806134355726,16.669444907484582,37.50625104184031,0.4444444444444444
2-3m,2018,12,47355,8,20,25.340513145391196,16.893675430260796,42.23418857565199,0.4
2-3m,2019,14,47169,6,20,29.68051050478068,12.720218787763152,42.40072929254383,0.3
25-49,2006,1527,7150070,263,1790,21.356434272671457,3.6782856671333284,25.034719939804788,0.146927374301676
25-49,2007,1537,7246284,276,1813,21.210871668844334,3.808848783735222,25.019720452579556,0.15223386651958082
25-49,2008,1651,7370558,289,1940,22.39993227107093,3.921005709472743,26.320937980543672,0.14896907216494845
25-49,2009,1694,7506881,276,1970,22.565963147677444,3.6766268174492174,26.242589965126662,0.1401015228426396
25-49,2010,1816,7597282,286,2102,23.90328541180912,3.7645042003179556,27.667789612127073,0.13606089438629876
25-49,2011,1886,7673404,322,2208,24.5784009287143,4.196312353682929,28.774713282397222,0.14583333333333334
25-49,2012,1766,7786561,358,2124,22.680102294196374,4.59766513098658,27.277767425182954,0.16854990583804144
25-49,2013,1672,7897601,285,1957,21.17098597409517,3.6086907910389496,24.77967676513412,0.14563106796116504
25-49,2014,1784,7984497,263,2047,22.343298519618706,3.29388313377787,25.637181653396574,0.12848070346849047
25-49,2015,1915,8088657,220,2135,23.675129258169804,2.71985819153909,26.394987449708893,0.10304449648711944
25-49,2016,1893,8202708,245,2138,23.077744569232504,2.9868184994516445,26.064563068684144,0.1145930776426567
25-49,2017,1848,8345944,269,2117,22.142492209389374,3.2231225131632804,25.365614722552657,0.12706660368445913
25-49,2018,1890,8473646,273,2163,22.304448403910193,3.2217536583425836,25.52620206225278,0.1262135922330097
25-49,2019,1886,8593650,282,2168,21.946437194905542,3.2814927300972228,25.227929925002766,0.13007380073800737
4-5m,2006,16,41432,5,21,38.61749372465727,12.067966788955397,50.68546051361267,0.23809523809523808
4-5m,2007,14,44181,4,18,31.687829610013356,9.053665602860958,40.74149521287431,0.2222222222222222
4-5m,2008,14,45392,12,26,30.84243919633416,26.436376454000705,57.27881565033486,0.46153846153846156
4-5m,2009,12,46060,6,18,26.052974381241857,13.026487190620928,39.07946157186279,0.3333333333333333
4-5m,2010,13,46432,14,27,27.99793246037216,30.151619572708476,58.14955203308063,0.5185185185185185
4-5m,2011,15,45274,2,17,33.131598710076425,4.417546494676857,37.54914520475328,0.11764705882352941
4-5m,2012,16,47661,9,25,33.57042445605421,18.8833637565305,52.45378821258471,0.36
4-5m,2013,15,48503,3,18,30.92592210791085,6.1851844215821705,37.11110652949302,0.16666666666666666
4-5m,2014,13,47964,10,23,27.103661079142693,20.848970060878994,47.95263114002169,0.43478260869565216
4-5m,2015,11,48267,7,18,22.789897859821412,14.502662274431806,37.292560134253215,0.3888888888888889
4-5m,2016,10,49997,4,14,20.00120007200432,8.000480028801729,28.001680100806052,0.2857142857142857
4-5m,2017,10,47992,11,21,20.836806134355726,22.920486747791298,43.75729288214703,0.5238095238095238
4-5m,2018,11,47355,7,18,23.228803716608596,14.781966001478196,38.01076971808679,0.3888888888888889
4-5m,2019,10,47169,11,21,21.200364646271915,23.32040111089911,44.52076575717102,0.5238095238095238
5-14,2006,335,2551934,61,396,13.127298746754422,2.3903439509015514,15.517642697655974,0.15404040404040403
5-14,2007,302,2551480,54,356,11.83626757803314,2.1164187060059256,13.952686284039066,0.15168539325842698
5-14,2008,306,2556605,61,367,11.968997948451168,2.385976715214122,14.35497466366529,0.16621253405994552
5-14,2009,318,2569121,54,372,12.377774343831996,2.1018862093299613,14.479660553161956,0.14516129032258066
5-14,2010,356,2579656,67,423,13.800289651023236,2.5972455242094292,16.397535175232665,0.15839243498817968
5-14,2011,366,2607506,89,455,14.03640106676648,3.4132232102246363,17.449624276991116,0.1956043956043956
5-14,2012,326,2637803,77,403,12.35876977924432,2.9190959294534125,15.277865708697732,0.19106699751861042
5-14,2013,291,2678958,67,358,10.862432333765591,2.5009723929975762,13.363404726763166,0.1871508379888268
5-14,2014,311,2721192,52,363,11.428815019300366,1.9109272701081,13.339742289408466,0.14325068870523416
5-14,2015,350,2767896,49,399,12.644983771066542,1.7702977279493162,14.41528149901586,0.12280701754385964
5-14,2016,340,2818468,70,410,12.063291121275814,2.4836187602626674,14.54690988153848,0.17073170731707318
5-14,2017,298,2878077,74,372,10.354135764956949,2.5711612302242086,12.925296995181158,0.1989247311827957
5-14,2018,304,2936590,71,375,10.352143132000041,2.4177702709605358,12.769913402960578,0.18933333333333333
5-14,2019,298,2989105,93,391,9.969539377171428,3.1112992016004792,13.080838578771907,0.23785166240409208
50-64,2006,1866,3529660,258,2124,52.86628173818441,7.309485899491736,60.17576763767615,0.12146892655367232
50-64,2007,1914,3624254,255,2169,52.81086811244466,7.035930704636043,59.846798817080696,0.11756569847856155
50-64,2008,2032,3722271,305,2337,54.590329398369974,8.193922473672659,62.78425187204263,0.1305091998288404
50-64,2009,2096,3809387,286,2382,55.02197597671226,7.5077696227765776,62.52974559948885,0.1200671704450042
50-64,2010,2255,3894331,317,2572,57.90468247306148,8.140037403086692,66.04471987614818,0.12325038880248834
50-64,2011,2386,3983269,321,2707,59.900549021419344,8.058707559042585,67.95925658046193,0.11858145548577761
50-64,2012,2371,4036549,322,2693,58.738293527466155,7.977111141224844,66.71540466869101,0.11956925362049758
50-64,2013,2374,4099692,281,2655,57.90678909537595,6.854173435467835,64.76096253084378,0.10583804143126177
50-64,2014,2477,4158813,318,2795,59.56026395031467,7.646412570125178,67.20667652043984,0.11377459749552772
50-64,2015,2596,4201070,299,2895,61.793781108146256,7.117234418850436,68.91101552699669,0.10328151986183075
50-64,2016,2747,4239282,346,3093,64.79870883795888,8.161759467758928,72.96046830571781,0.11186550274814096
50-64,2017,2938,4280904,405,3343,68.63036405394749,9.460618598314749,78.09098265226224,0.12114866886030512
50-64,2018,3010,4320815,373,3383,69.66278352579316,8.632630649541811,78.29541417533498,0.11025716819391072
50-64,2019,2906,4368179,405,3311,66.5265777798941,9.271598073247455,75.79817585314156,0.12231954092419209
