age.grp,year,PCV7s,PCV13s,PCV13s_not7,PPV23s,PPV23s_not13,not_VT,total,prop.PCV7,prop.PCV13,prop.PCV13_not7,prop.PPV23,prop.PPV23_not13,prop.notVT,prop.VT
15-24,2008,17,32,15,39,9,10,51,0.3333333333333333,0.6274509803921569,0.29411764705882354,0.7647058823529411,0.17647058823529413,0.19607843137254902,0.803921568627451
15-24,2009,9,37,28,45,8,9,54,0.16666666666666666,0.6851851851851852,0.5185185185185185,0.8333333333333334,0.14814814814814814,0.16666666666666666,0.8333333333333334
15-24,2010,4,30,26,37,8,8,46,0.08695652173913043,0.6521739130434783,0.5652173913043478,0.8043478260869565,0.17391304347826086,0.17391304347826086,0.8260869565217391
15-24,2011,3,36,33,46,10,11,57,0.05263157894736842,0.631578947368421,0.5789473684210527,0.8070175438596491,0.17543859649122806,0.19298245614035087,0.8070175438596492
15-24,2012,6,36,30,49,13,6,55,0.10909090909090909,0.6545454545454545,0.5454545454545454,0.8909090909090909,0.23636363636363636,0.10909090909090909,0.8909090909090909
15-24,2013,4,16,12,20,4,10,30,0.13333333333333333,0.5333333333333333,0.4,0.6666666666666666,0.13333333333333333,0.3333333333333333,0.6666666666666667
15-24,2014,5,20,15,31,11,4,35,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.8857142857142857,0.3142857142857143,0.11428571428571428,0.8857142857142857
15-24,2015,6,14,8,20,6,8,28,0.21428571428571427,0.5,0.2857142857142857,0.7142857142857143,0.21428571428571427,0.2857142857142857,0.7142857142857143
15-24,2016,3,12,9,21,9,5,26,0.11538461538461539,0.46153846153846156,0.34615384615384615,0.8076923076923077,0.34615384615384615,0.19230769230769232,0.8076923076923077
15-24,2017,8,17,9,27,10,9,36,0.2222222222222222,0.4722222222222222,0.25,0.75,0.2777777777777778,0.25,0.75
15-24,2018,7,15,8,28,13,8,36,0.19444444444444445,0.4166666666666667,0.2222222222222222,0.7777777777777778,0.3611111111111111,0.2222222222222222,0.7777777777777778
15-24,2019,4,13,9,33,20,8,41,0.0975609756097561,0.3170731707317073,0.21951219512195122,0.8048780487804879,0.4878048780487805,0.1951219512195122,0.8048780487804879
2-3M,2006,6,8,2,8,0,2,10,0.6,0.8,0.2,0.8,0,0.2,0.8
2-3M,2007,1,4,3,5,1,0,5,0.2,0.8,0.6,1,0.2,0,1
2-3M,2008,1,3,2,5,2,2,7,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
2-3M,2009,1,2,1,3,1,1,4,0.25,0.5,0.25,0.75,0.25,0.25,0.75
2-3M,2010,1,6,5,7,1,3,10,0.1,0.6,0.5,0.7,0.1,0.3,0.7
2-3M,2011,3,13,10,13,0,2,15,0.2,0.8666666666666667,0.6666666666666666,0.8666666666666667,0,0.13333333333333333,0.8666666666666667
2-3M,2012,0,3,3,2,0,2,5,0,0.6,0.6,0.4,0,0.4,0.6
2-3M,2013,3,5,2,5,0,0,5,0.6,1,0.4,1,0,0,1
2-3M,2014,1,1,0,2,1,0,2,0.5,0.5,0,1,0.5,0,1
2-3M,2015,2,3,1,5,2,0,5,0.4,0.6,0.2,1,0.4,0,1
2-3M,2016,0,1,1,4,3,4,8,0,0.125,0.125,0.5,0.375,0.5,0.5
2-3M,2017,1,2,1,3,1,5,8,0.125,0.25,0.125,0.375,0.125,0.625,0.375
2-3M,2018,3,4,1,7,3,1,8,0.375,0.5,0.125,0.875,0.375,0.125,0.875
2-3M,2019,2,4,2,4,0,2,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.6666666666666667
25-49,2006,112,179,67,222,48,36,263,0.42585551330798477,0.6806083650190115,0.25475285171102663,0.844106463878327,0.18250950570342206,0.13688212927756654,0.8631178707224334
25-49,2007,77,168,91,221,56,52,276,0.27898550724637683,0.6086956521739131,0.32971014492753625,0.8007246376811594,0.2028985507246377,0.18840579710144928,0.8115942028985508
25-49,2008,68,180,112,236,59,50,289,0.23529411764705882,0.6228373702422145,0.3875432525951557,0.8166089965397924,0.2041522491349481,0.17301038062283736,0.8269896193771626
25-49,2009,49,176,127,228,54,46,276,0.17753623188405798,0.6376811594202898,0.4601449275362319,0.8260869565217391,0.1956521739130435,0.16666666666666666,0.8333333333333334
25-49,2010,39,172,133,224,55,59,286,0.13636363636363635,0.6013986013986014,0.46503496503496505,0.7832167832167832,0.19230769230769232,0.2062937062937063,0.7937062937062938
25-49,2011,23,203,180,254,54,65,322,0.07142857142857142,0.6304347826086957,0.5590062111801242,0.7888198757763976,0.16770186335403728,0.20186335403726707,0.7981366459627329
25-49,2012,22,218,196,288,71,69,358,0.061452513966480445,0.6089385474860335,0.547486033519553,0.8044692737430168,0.19832402234636873,0.19273743016759776,0.8072625698324023
25-49,2013,26,160,134,225,65,60,285,0.0912280701754386,0.5614035087719298,0.47017543859649125,0.7894736842105263,0.22807017543859648,0.21052631578947367,0.7894736842105263
25-49,2014,24,125,101,201,76,62,263,0.09125475285171103,0.4752851711026616,0.3840304182509506,0.7642585551330798,0.2889733840304182,0.23574144486692014,0.7642585551330798
25-49,2015,14,84,70,161,78,58,220,0.06363636363636363,0.38181818181818183,0.3181818181818182,0.7318181818181818,0.35454545454545455,0.2636363636363636,0.7363636363636363
25-49,2016,24,96,72,184,88,61,245,0.09795918367346938,0.39183673469387753,0.2938775510204082,0.7510204081632653,0.35918367346938773,0.24897959183673468,0.7510204081632653
25-49,2017,26,94,68,189,95,80,269,0.09665427509293681,0.34944237918215615,0.2527881040892193,0.7026022304832714,0.35315985130111527,0.29739776951672864,0.7026022304832713
25-49,2018,38,111,73,208,97,65,273,0.1391941391941392,0.4065934065934066,0.2673992673992674,0.7619047619047619,0.3553113553113553,0.23809523809523808,0.7619047619047619
25-49,2019,38,124,86,216,93,65,282,0.1347517730496454,0.4397163120567376,0.3049645390070922,0.7659574468085106,0.32978723404255317,0.23049645390070922,0.7695035460992907
4-5M,2006,1,4,3,5,1,0,5,0.2,0.8,0.6,1,0.2,0,1
4-5M,2007,0,2,2,2,1,1,4,0,0.5,0.5,0.5,0.25,0.25,0.75
4-5M,2008,1,7,6,8,1,4,12,0.08333333333333333,0.5833333333333334,0.5,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.6666666666666667
4-5M,2009,2,5,3,6,1,0,6,0.3333333333333333,0.8333333333333334,0.5,1,0.16666666666666666,0,1
4-5M,2010,1,8,7,9,1,5,14,0.07142857142857142,0.5714285714285714,0.5,0.6428571428571429,0.07142857142857142,0.35714285714285715,0.6428571428571428
4-5M,2011,0,2,2,2,0,0,2,0,1,1,1,0,0,1
4-5M,2012,1,3,2,7,4,2,9,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.2222222222222222,0.7777777777777778
4-5M,2013,0,2,2,2,0,1,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,0.6666666666666667
4-5M,2014,1,3,2,3,0,7,10,0.1,0.3,0.2,0.3,0,0.7,0.30000000000000004
4-5M,2015,1,4,3,6,2,1,7,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.8571428571428572
4-5M,2016,0,0,0,1,1,3,4,0,0,0,0.25,0.25,0.75,0.25
4-5M,2017,4,5,1,6,1,5,11,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.5454545454545454
4-5M,2018,2,3,1,4,1,3,7,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714
4-5M,2019,1,2,1,6,4,5,11,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.5454545454545454
5-14,2006,30,47,17,49,4,10,61,0.4918032786885246,0.7704918032786885,0.2786885245901639,0.8032786885245902,0.06557377049180328,0.16393442622950818,0.8360655737704918
5-14,2007,18,30,12,40,10,14,54,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.7407407407407407,0.18518518518518517,0.25925925925925924,0.7407407407407407
5-14,2008,20,40,20,49,10,11,61,0.32786885245901637,0.6557377049180327,0.32786885245901637,0.8032786885245902,0.16393442622950818,0.18032786885245902,0.819672131147541
5-14,2009,7,26,19,37,11,17,54,0.12962962962962962,0.48148148148148145,0.35185185185185186,0.6851851851851852,0.2037037037037037,0.3148148148148148,0.6851851851851851
5-14,2010,8,39,31,46,8,20,67,0.11940298507462686,0.582089552238806,0.4626865671641791,0.6865671641791045,0.11940298507462686,0.29850746268656714,0.7014925373134329
5-14,2011,6,49,43,62,13,27,89,0.06741573033707865,0.550561797752809,0.48314606741573035,0.6966292134831461,0.14606741573033707,0.30337078651685395,0.696629213483146
5-14,2012,1,39,38,43,5,33,77,0.012987012987012988,0.5064935064935064,0.4935064935064935,0.5584415584415584,0.06493506493506493,0.42857142857142855,0.5714285714285714
5-14,2013,8,30,22,43,13,24,67,0.11940298507462686,0.44776119402985076,0.3283582089552239,0.6417910447761194,0.19402985074626866,0.3582089552238806,0.6417910447761195
5-14,2014,9,27,18,37,10,15,52,0.17307692307692307,0.5192307692307693,0.34615384615384615,0.7115384615384616,0.19230769230769232,0.28846153846153844,0.7115384615384616
5-14,2015,6,20,14,29,9,20,49,0.12244897959183673,0.40816326530612246,0.2857142857142857,0.5918367346938775,0.1836734693877551,0.40816326530612246,0.5918367346938775
5-14,2016,7,30,23,36,6,34,70,0.1,0.42857142857142855,0.32857142857142857,0.5142857142857142,0.08571428571428572,0.4857142857142857,0.5142857142857142
5-14,2017,7,29,22,40,11,34,74,0.0945945945945946,0.3918918918918919,0.2972972972972973,0.5405405405405406,0.14864864864864866,0.4594594594594595,0.5405405405405406
5-14,2018,11,32,21,38,6,33,71,0.15492957746478872,0.4507042253521127,0.29577464788732394,0.5352112676056338,0.08450704225352113,0.4647887323943662,0.5352112676056338
5-14,2019,10,39,29,53,14,40,93,0.10752688172043011,0.41935483870967744,0.3118279569892473,0.5698924731182796,0.15053763440860216,0.43010752688172044,0.5698924731182795
50-64,2006,116,168,52,215,54,36,258,0.4496124031007752,0.6511627906976745,0.20155038759689922,0.8333333333333334,0.20930232558139536,0.13953488372093023,0.8604651162790697
50-64,2007,78,163,85,204,48,44,255,0.3058823529411765,0.6392156862745098,0.3333333333333333,0.8,0.18823529411764706,0.17254901960784313,0.8274509803921568
50-64,2008,48,169,121,225,68,68,305,0.15737704918032788,0.5540983606557377,0.39672131147540984,0.7377049180327869,0.22295081967213115,0.22295081967213115,0.7770491803278688
